symbol,start,end,download_start_date_str,download_end_date_str,download_start_month_str,download_end_month_str
DNTUSDT,2020-11-10,2022-10-24,2020-11-10,2022-10-24,2020-11,2022-10
STRAXUSDT,2020-11-18,2026-01-20,2020-11-18,2026-01-19,2020-11,2025-12
UNFIUSDT,2020-11-19,2024-11-06,2020-11-19,2024-11-06,2020-11,2024-11
ROSEUSDT,2020-11-19,2026-01-20,2020-11-19,2026-01-19,2020-11,2025-12
AVAUSDT,2020-11-24,2026-01-20,2020-11-24,2026-01-19,2020-11,2025-12
XEMUSDT,2020-11-24,2024-06-17,2020-11-24,2024-06-17,2020-11,2024-06
AAVEUPUSDT,2020-11-26,2021-11-11,2020-11-26,2021-11-11,2020-11,2021-11
AAVEDOWNUSDT,2020-11-26,2021-11-11,2020-11-26,2021-11-11,2020-11,2021-11
SKLUSDT,2020-12-01,2026-01-20,2020-12-01,2026-01-19,2020-12,2025-12
SUSDUSDT,2020-12-04,2022-04-11,2020-12-04,2022-04-11,2020-12,2022-04
SUSHIUPUSDT,2020-12-10,2021-12-14,2020-12-10,2021-12-14,2020-12,2021-12
SUSHIDOWNUSDT,2020-12-10,2021-12-14,2020-12-10,2021-12-14,2020-12,2021-12
XLMUPUSDT,2020-12-11,2021-12-14,2020-12-11,2021-12-14,2020-12,2021-12
XLMDOWNUSDT,2020-12-11,2021-12-14,2020-12-11,2021-12-14,2020-12,2021-12
GRTUSDT,2020-12-17,2026-01-20,2020-12-17,2026-01-19,2020-12,2025-12
JUVUSDT,2020-12-21,2026-01-20,2020-12-21,2026-01-19,2020-12,2025-12
PSGUSDT,2020-12-21,2026-01-20,2020-12-21,2026-01-19,2020-12,2025-12
1INCHUSDT,2020-12-25,2026-01-20,2020-12-25,2026-01-19,2020-12,2025-12
REEFUSDT,2020-12-29,2024-08-26,2020-12-29,2024-08-26,2020-12,2024-08
OGUSDT,2020-12-30,2026-01-20,2020-12-30,2026-01-19,2020-12,2025-12
ATMUSDT,2020-12-30,2026-01-20,2020-12-30,2026-01-19,2020-12,2025-12
ASRUSDT,2020-12-30,2026-01-20,2020-12-30,2026-01-19,2020-12,2025-12
CELOUSDT,2021-01-05,2026-01-20,2021-01-05,2026-01-19,2021-01,2025-12
RIFUSDT,2021-01-07,2026-01-20,2021-01-07,2026-01-19,2021-01,2025-12
BTCSTUSDT,2021-01-13,2022-11-28,2021-01-13,2022-11-28,2021-01,2022-11
TRUUSDT,2021-01-19,2026-01-20,2021-01-19,2026-01-19,2021-01,2025-12
CKBUSDT,2021-01-26,2026-01-20,2021-01-26,2026-01-19,2021-01,2025-12
TWTUSDT,2021-01-27,2026-01-20,2021-01-27,2026-01-19,2021-01,2025-12
FIROUSDT,2021-01-29,2025-04-16,2021-01-29,2025-04-16,2021-01,2025-04
LITUSDT,2021-02-04,2025-02-10,2021-02-04,2025-02-10,2021-02,2025-02
SFPUSDT,2021-02-08,2026-01-20,2021-02-08,2026-01-19,2021-02,2025-12
DODOUSDT,2021-02-19,2026-01-20,2021-02-19,2026-01-19,2021-02,2025-12
CAKEUSDT,2021-02-19,2026-01-20,2021-02-19,2026-01-19,2021-02,2025-12
ACMUSDT,2021-02-24,2026-01-20,2021-02-24,2026-01-19,2021-02,2025-12
BADGERUSDT,2021-03-02,2025-04-16,2021-03-02,2025-04-16,2021-03,2025-04
FISUSDT,2021-03-03,2025-12-17,2021-03-03,2025-12-17,2021-03,2025-12
OMUSDT,2021-03-08,2026-01-20,2021-03-08,2026-01-19,2021-03,2025-12
PONDUSDT,2021-03-09,2026-01-20,2021-03-09,2026-01-19,2021-03,2025-12
DEGOUSDT,2021-03-10,2026-01-20,2021-03-10,2026-01-19,2021-03,2025-12
ALICEUSDT,2021-03-15,2026-01-20,2021-03-15,2026-01-19,2021-03,2025-12
LINAUSDT,2021-03-18,2025-03-28,2021-03-18,2025-03-28,2021-03,2025-03
PERPUSDT,2021-03-19,2025-11-12,2021-03-19,2025-11-12,2021-03,2025-11
RAMPUSDT,2021-03-22,2022-07-04,2021-03-22,2022-07-04,2021-03,2022-07
SUPERUSDT,2021-03-25,2026-01-20,2021-03-25,2026-01-19,2021-03,2025-12
CFXUSDT,2021-03-29,2026-01-20,2021-03-29,2026-01-19,2021-03,2025-12
EPSUSDT,2021-04-02,2022-05-09,2021-04-02,2022-05-09,2021-04,2022-05
AUTOUSDT,2021-04-02,2023-04-18,2021-04-02,2023-04-18,2021-04,2023-04
TKOUSDT,2021-04-07,2026-01-20,2021-04-07,2026-01-19,2021-04,2025-12
PUNDIXUSDT,2021-04-09,2026-01-20,2021-04-09,2026-01-19,2021-04,2025-12
TLMUSDT,2021-04-13,2026-01-20,2021-04-13,2026-01-19,2021-04,2025-12
1INCHUPUSDT,2021-04-15,2021-12-02,2021-04-15,2021-12-02,2021-04,2021-12
1INCHDOWNUSDT,2021-04-15,2021-12-02,2021-04-15,2021-12-02,2021-04,2021-12
BTGUSDT,2021-04-16,2022-10-24,2021-04-16,2022-10-24,2021-04,2022-10
MIRUSDT,2021-04-19,2022-12-27,2021-04-19,2022-12-27,2021-04,2022-12
BARUSDT,2021-04-21,2026-01-20,2021-04-21,2026-01-19,2021-04,2025-12
FORTHUSDT,2021-04-23,2026-01-20,2021-04-23,2026-01-19,2021-04,2025-12
BAKEUSDT,2021-04-30,2025-09-17,2021-04-30,2025-09-17,2021-04,2025-09
BURGERUSDT,2021-04-30,2025-03-28,2021-04-30,2025-03-28,2021-04,2025-03
SLPUSDT,2021-04-30,2026-01-20,2021-04-30,2026-01-19,2021-04,2025-12
